inst,ptype,rep,n,m,cargo_lb,init_ub,opt,base_us,ub_us,direct_us,cap_us,base_pairs,ub_pairs,direct_pairs,cap_pairs,base_popped,cap_popped,cap_pruned,maxfront_base,maxfront_cap,ub_feasible
E-n60-k5-s9.evrp,knn3,12,50,9,860.774,871.482,871.039,11461,11365,5123,780,54270,54270,45580,18740,663,262,35574,32,13,1
E-n60-k5-s9.evrp,knn3,13,50,9,968.144,981.504,981.348,12528,12633,4031,589,52170,52170,41520,12730,632,168,24651,29,7,1
E-n60-k5-s9.evrp,knn3,14,50,9,822.478,833.996,833.839,13119,13483,6471,806,58190,58190,53870,14980,709,199,28659,30,8,1
E-n60-k5-s9.evrp,knn3,15,50,9,848.61,856.815,856.815,9075,8511,4079,457,43860,43860,37470,11120,525,150,21152,24,7,1
E-n60-k5-s9.evrp,knn3,16,50,9,825.266,835.233,835.233,14427,14353,6111,677,58250,58250,42630,15410,710,200,29667,36,9,1
E-n60-k5-s9.evrp,knn3,17,50,9,912.054,922.851,922.851,11080,10480,4748,773,53040,53040,44000,16450,646,221,31913,29,12,1
E-n60-k5-s9.evrp,knn3,18,50,9,870.809,892.16,892.16,11494,11285,6137,1131,55880,55880,47930,25310,671,327,48270,34,22,1
E-n60-k5-s9.evrp,knn3,19,50,9,801.129,807.577,805.034,13037,12767,3979,653,53960,53960,39880,13100,661,169,24624,37,7,1
E-n60-k5-s9.evrp,random,0,50,9,1697.52,1712.19,1711.53,4857,4916,1501,671,29920,29920,17410,11710,361,155,21813,14,8,1
E-n60-k5-s9.evrp,random,1,50,9,1614.6,1628.69,1627,4814,4840,1232,719,30430,30430,15710,14740,363,193,27373,16,10,1
E-n60-k5-s9.evrp,random,2,50,9,1773.47,1791.76,1791.68,5714,5232,2190,941,33720,33520,23530,16280,394,202,29688,16,13,1
E-n60-k5-s9.evrp,random,3,50,9,1620.26,1645.74,1644.12,7437,6062,1903,1066,35740,35640,23680,21830,438,290,40290,25,15,1
E-n60-k5-s9.evrp,random,4,50,9,1574.53,1590.35,1589.41,5690,5168,1923,730,35740,35640,22400,17660,424,235,33357,16,11,1
E-n60-k5-s9.evrp,random,5,50,9,1761.08,1785.03,1784.29,7451,5403,1930,1019,37370,36850,23620,20510,469,275,37306,31,14,1
E-n60-k5-s9.evrp,random,6,50,9,1636.35,1669.09,1665.3,7002,5978,2656,1567,38660,38660,29390,27750,471,352,49551,19,14,1
E-n60-k5-s9.evrp,random,7,50,9,1695.72,1727.04,1726.36,6926,6558,3127,1798,38540,38340,33260,32680,467,405,58383,21,21,1
E-n60-k5-s9.evrp,random,8,50,9,1573.93,1594.53,1594.3,5994,5935,2236,1076,35900,35900,23900,22340,426,282,41759,21,16,1
E-n60-k5-s9.evrp,random,9,50,9,1546.65,1559.26,1558.63,7048,6386,2087,838,37440,37160,21530,15460,446,200,28807,21,14,1
E-n60-k5-s9.evrp,random,10,50,9,1562.24,1578.49,1577.96,6194,6994,1836,1021,37470,37470,23590,20220,440,254,36697,22,11,1
E-n60-k5-s9.evrp,random,11,50,9,1740.34,1756.51,1756.25,4714,4640,1409,841,30400,30400,16900,16620,353,208,30692,13,10,1
E-n60-k5-s9.evrp,random,12,50,9,1490.68,1508.42,1508.1,5555,5410,1771,815,34990,34710,19110,16340,424,211,31037,24,12,1
E-n60-k5-s9.evrp,random,13,50,9,1629.32,1648.3,1646.3,6961,5963,2448,1262,40070,39170,28190,25660,489,330,46915,28,14,1
E-n60-k5-s9.evrp,random,14,50,9,1623.2,1639.31,1639.31,7608,6989,1913,893,36990,36690,22960,18220,449,240,34498,31,10,1
E-n60-k5-s9.evrp,random,15,50,9,1757.16,1781.09,1780.16,6000,6018,2694,1379,36810,36530,27530,25270,461,334,46346,23,15,1
E-n60-k5-s9.evrp,random,16,50,9,1489.13,1498.26,1498.21,6056,5780,1589,579,35930,35930,19230,12390,439,166,23435,20,10,1
E-n60-k5-s9.evrp,random,17,50,9,1711.57,1732.99,1732.14,4944,6833,2043,3245,32920,32920,23420,21560,409,287,39884,15,14,1
E-n60-k5-s9.evrp,random,18,50,9,1560.6,1582.94,1580.14,6141,5970,2766,1215,36870,36670,27610,23430,457,306,42802,18,12,1
E-n60-k5-s9.evrp,random,19,50,9,1472.91,1493.64,1493.48,6606,5939,1993,924,36540,36540,23730,18260,445,241,34490,24,12,1
