inst,ptype,rep,n,boundprep_ns
E-n35-k3-s5.evrp,random,12,29,1326
E-n35-k3-s5.evrp,random,13,29,1491
E-n35-k3-s5.evrp,random,14,29,1551
E-n35-k3-s5.evrp,random,15,29,1347
E-n35-k3-s5.evrp,random,16,29,1611
E-n35-k3-s5.evrp,random,17,29,1390
E-n35-k3-s5.evrp,random,18,29,1342
E-n35-k3-s5.evrp,random,19,29,1578
E-n37-k4-s4.evrp,knn3,0,32,1515
E-n37-k4-s4.evrp,knn3,1,32,1751
E-n37-k4-s4.evrp,knn3,2,32,1569
E-n37-k4-s4.evrp,knn3,3,32,1611
E-n37-k4-s4.evrp,knn3,4,32,1621
E-n37-k4-s4.evrp,knn3,5,32,1553
E-n37-k4-s4.evrp,knn3,6,32,1753
E-n37-k4-s4.evrp,knn3,7,32,1491
E-n37-k4-s4.evrp,knn3,8,32,1639
E-n37-k4-s4.evrp,knn3,9,32,1492
E-n37-k4-s4.evrp,knn3,10,32,1625
E-n37-k4-s4.evrp,knn3,11,32,1503
E-n37-k4-s4.evrp,knn3,12,32,1573
E-n37-k4-s4.evrp,knn3,13,32,1546
E-n37-k4-s4.evrp,knn3,14,32,1480
E-n37-k4-s4.evrp,knn3,15,32,1487
E-n37-k4-s4.evrp,knn3,16,32,1707
E-n37-k4-s4.evrp,knn3,17,32,1513
E-n37-k4-s4.evrp,knn3,18,32,1495
E-n37-k4-s4.evrp,knn3,19,32,1489
E-n37-k4-s4.evrp,random,0,32,1566
E-n37-k4-s4.evrp,random,1,32,1643
E-n37-k4-s4.evrp,random,2,32,1610
E-n37-k4-s4.evrp,random,3,32,1515
E-n37-k4-s4.evrp,random,4,32,1539
E-n37-k4-s4.evrp,random,5,32,1530
E-n37-k4-s4.evrp,random,6,32,1621
E-n37-k4-s4.evrp,random,7,32,1474
E-n37-k4-s4.evrp,random,8,32,1693
E-n37-k4-s4.evrp,random,9,32,1516
E-n37-k4-s4.evrp,random,10,32,1788
E-n37-k4-s4.evrp,random,11,32,1492
E-n37-k4-s4.evrp,random,12,32,1621
E-n37-k4-s4.evrp,random,13,32,2110
E-n37-k4-s4.evrp,random,14,32,2412
E-n37-k4-s4.evrp,random,15,32,2088
E-n37-k4-s4.evrp,random,16,32,2084
E-n37-k4-s4.evrp,random,17,32,1888
E-n37-k4-s4.evrp,random,18,32,1930
E-n37-k4-s4.evrp,random,19,32,1748
F-n49-k4-s4.evrp,knn3,0,44,3740
F-n49-k4-s4.evrp,knn3,1,44,2513
F-n49-k4-s4.evrp,knn3,2,44,2858
F-n49-k4-s4.evrp,knn3,3,44,2647
F-n49-k4-s4.evrp,knn3,4,44,2764
F-n49-k4-s4.evrp,knn3,5,44,2755
F-n49-k4-s4.evrp,knn3,6,44,2393
F-n49-k4-s4.evrp,knn3,7,44,3483
F-n49-k4-s4.evrp,knn3,8,44,4926
F-n49-k4-s4.evrp,knn3,9,44,3487
F-n49-k4-s4.evrp,knn3,10,44,2484
F-n49-k4-s4.evrp,knn3,11,44,2744
F-n49-k4-s4.evrp,knn3,12,44,2701
F-n49-k4-s4.evrp,knn3,13,44,3231
F-n49-k4-s4.evrp,knn3,14,44,2829
F-n49-k4-s4.evrp,knn3,15,44,2597
F-n49-k4-s4.evrp,knn3,16,44,2630
F-n49-k4-s4.evrp,knn3,17,44,5643
F-n49-k4-s4.evrp,knn3,18,44,6434
F-n49-k4-s4.evrp,knn3,19,44,4494
F-n49-k4-s4.evrp,random,0,44,2586
F-n49-k4-s4.evrp,random,1,44,2640
F-n49-k4-s4.evrp,random,2,44,2990
F-n49-k4-s4.evrp,random,3,44,3014
F-n49-k4-s4.evrp,random,4,44,2521
F-n49-k4-s4.evrp,random,5,44,2764
F-n49-k4-s4.evrp,random,6,44,2958
F-n49-k4-s4.evrp,random,7,44,2757
F-n49-k4-s4.evrp,random,8,44,2877
F-n49-k4-s4.evrp,random,9,44,2731
F-n49-k4-s4.evrp,random,10,44,2958
F-n49-k4-s4.evrp,random,11,44,3026
F-n49-k4-s4.evrp,random,12,44,2490
F-n49-k4-s4.evrp,random,13,44,2296
F-n49-k4-s4.evrp,random,14,44,3074
F-n49-k4-s4.evrp,random,15,44,2951
F-n49-k4-s4.evrp,random,16,44,2615
F-n49-k4-s4.evrp,random,17,44,2878
F-n49-k4-s4.evrp,random,18,44,2713
F-n49-k4-s4.evrp,random,19,44,2676
E-n60-k5-s9.evrp,knn3,0,50,2819
E-n60-k5-s9.evrp,knn3,1,50,2587
E-n60-k5-s9.evrp,knn3,2,50,2800
E-n60-k5-s9.evrp,knn3,3,50,3223
E-n60-k5-s9.evrp,knn3,4,50,2878
E-n60-k5-s9.evrp,knn3,5,50,2590
E-n60-k5-s9.evrp,knn3,6,50,2709
E-n60-k5-s9.evrp,knn3,7,50,2759
E-n60-k5-s9.evrp,knn3,8,50,2782
E-n60-k5-s9.evrp,knn3,9,50,2607
E-n60-k5-s9.evrp,knn3,10,50,2842
E-n60-k5-s9.evrp,knn3,11,50,2770
E-n60-k5-s9.evrp,knn3,12,50,2801
E-n60-k5-s9.evrp,knn3,13,50,2739
E-n60-k5-s9.evrp,knn3,14,50,2750
E-n60-k5-s9.evrp,knn3,15,50,2591
E-n60-k5-s9.evrp,knn3,16,50,2965
E-n60-k5-s9.evrp,knn3,17,50,2913
E-n60-k5-s9.evrp,knn3,18,50,2771
E-n60-k5-s9.evrp,knn3,19,50,2667
E-n60-k5-s9.evrp,random,0,50,2754
E-n60-k5-s9.evrp,random,1,50,3087
E-n60-k5-s9.evrp,random,2,50,2582
E-n60-k5-s9.evrp,random,3,50,2902
E-n60-k5-s9.evrp,random,4,50,2786
E-n60-k5-s9.evrp,random,5,50,2809
E-n60-k5-s9.evrp,random,6,50,2733
E-n60-k5-s9.evrp,random,7,50,2905
E-n60-k5-s9.evrp,random,8,50,2649
E-n60-k5-s9.evrp,random,9,50,2577
E-n60-k5-s9.evrp,random,10,50,2696
E-n60-k5-s9.evrp,random,11,50,2745
E-n60-k5-s9.evrp,random,12,50,2789
E-n60-k5-s9.evrp,random,13,50,2643
E-n60-k5-s9.evrp,random,14,50,2534
E-n60-k5-s9.evrp,random,15,50,2800
E-n60-k5-s9.evrp,random,16,50,3090
E-n60-k5-s9.evrp,random,17,50,2617
E-n60-k5-s9.evrp,random,18,50,2686
E-n60-k5-s9.evrp,random,19,50,2699
